29.2	,	38	,	1010.8	,	75	,	3
29.4	,	73	,	1011.7	,	76	,	6
28.8	,	70	,	1010.7	,	81	,	4
29	,	49	,	1012.5	,	79	,	3
29.1	,	19	,	1012.7	,	79	,	2
28.4	,	1	,	1012.2	,	78	,	4
27.3	,	20	,	1011.7	,	80	,	3
29.2	,	91	,	1011.8	,	76	,	6
28	,	13	,	1011.3	,	82	,	3
28.4	,	56	,	1010.2	,	78	,	4
28.7	,	39	,	1010.2	,	79	,	3
28.9	,	31	,	1009.2	,	81	,	3
28.8	,	46	,	1009.8	,	80	,	3
28.4	,	53	,	1009.6	,	83	,	5
29.6	,	54	,	1009.8	,	77	,	4
28.8	,	0	,	1008.9	,	78	,	4
28.7	,	61	,	1008.5	,	76	,	6
28.6	,	5	,	1009.2	,	78	,	6
26.4	,	0	,	1009.7	,	88	,	3
27.1	,	36	,	1007.9	,	84	,	6
29.1	,	70	,	1008.4	,	75	,	3
29.7	,	86	,	1009,0	,	74	,	4
28.2	,	1	,	1010.1	,	78	,	3
27.2	,	16	,	1010.5	,	84	,	6
28.2	,	44	,	1011.1	,	81	,	3
27.4	,	10	,	1011.4	,	83	,	4
27.3	,	49	,	1009.2	,	84	,	3
28.5	,	36	,	1009.6	,	80	,	3
27.3	,	20	,	1009.9	,	83	,	4
27.4	,	24	,	1009.5	,	81	,	5
29.4	,	49	,	1008.3	,	74	,	3
28.9	,	24	,	1007.8	,	77	,	4
29.5	,	68	,	1008.6	,	75	,	3
28.2	,	6	,	1009.1	,	83	,	3
27.8	,	28	,	1009.3	,	84	,	3
28.9	,	66	,	1009.3	,	77	,	3
29.9	,	84	,	1009.3	,	73	,	2
29.6	,	86	,	1009.1	,	72	,	4
29.3	,	85	,	1008.4	,	74	,	6
28.8	,	73	,	1010.2	,	78	,	4
30.1	,	94	,	1009.5	,	71	,	3
30.9	,	85	,	1009.4	,	69	,	4
29.1	,	61	,	1009.2	,	75	,	3
28.9	,	38	,	1009.7	,	77	,	3
29.4	,	84	,	1009,0	,	74	,	4
27.8	,	4	,	1007.4	,	81	,	4
28.5	,	31	,	1007.1	,	78	,	5
29.6	,	93	,	1007.1	,	74	,	4
28.7	,	23	,	1007.8	,	80	,	5
28.9	,	39	,	1007.6	,	78	,	3
29.1	,	71	,	1007,0	,	78	,	5
28.2	,	25	,	1006,0	,	78	,	6
27.2	,	8	,	1006.4	,	79	,	8
28.6	,	19	,	1009.3	,	76	,	7
27.7	,	5	,	1009.1	,	82	,	5
27.1	,	0	,	1009.8	,	82	,	7
28.1	,	1	,	1011.8	,	78	,	6
28.7	,	69	,	1010.5	,	76	,	7
27.4	,	0	,	1010.7	,	81	,	6
26.2	,	0	,	1011.8	,	88	,	7
25.9	,	0	,	1011.2	,	87	,	6
27.6	,	39	,	1011.5	,	79	,	7
28	,	20	,	1010.4	,	78	,	10
28.6	,	43	,	1010.4	,	75	,	8
29.1	,	78	,	1009.8	,	73	,	7
29.7	,	91	,	1010.7	,	70	,	6
28.9	,	21	,	1010.6	,	73	,	4
28.4	,	61	,	1009.3	,	77	,	5
28.1	,	81	,	1010.4	,	81	,	5
27.9	,	69	,	1011.8	,	80	,	5
28.7	,	88	,	1012.4	,	78	,	4
29.6	,	96	,	1011.5	,	74	,	4
28.8	,	100	,	1011.2	,	76	,	4
29.2	,	94	,	1010.8	,	74	,	5
30.1	,	95	,	1010,0	,	70	,	6
29.8	,	91	,	1008.5	,	73	,	7
28.2	,	26	,	1008.5	,	80	,	6
27.6	,	33	,	1008.2	,	81	,	5
27.9	,	58	,	1010.3	,	79	,	5
28.8	,	22	,	1010.4	,	76	,	4
29.1	,	31	,	1009.8	,	75	,	4
28.4	,	55	,	1008.8	,	80	,	6
28.8	,	66	,	1008.5	,	78	,	5
29.5	,	45	,	1007.1	,	76	,	5
29.5	,	38	,	1007.3	,	76	,	4
27.8	,	56	,	1006.7	,	82	,	5
27.1	,	4	,	1007.8	,	83	,	6
27.3	,	4	,	1007.8	,	82	,	6
26.2	,	0	,	1007.3	,	89	,	7
27.2	,	48	,	1007.8	,	83	,	5
29.4	,	15	,	1009.4	,	76	,	6
28.4	,	33	,	1008.4	,	79	,	7
27.7	,	1	,	1007.6	,	81	,	5
26.8	,	6	,	1008.9	,	86	,	6
28	,	0	,	1008.8	,	76	,	6
27.5	,	23	,	1008.3	,	82	,	6
29.2	,	30	,	1008.1	,	74	,	7
28.1	,	41	,	1007.8	,	79	,	6
28.1	,	28	,	1007.9	,	80	,	7
28.2	,	31	,	1008.8	,	79	,	8
27.6	,	41	,	1008.6	,	84	,	5
28.5	,	55	,	1008.1	,	80	,	8
27.5	,	18	,	1009.1	,	82	,	3
27	,	34	,	1010.5	,	83	,	6
27.7	,	53	,	1009.9	,	79	,	7
27.6	,	71	,	1008.6	,	81	,	9
27.2	,	33	,	1007.5	,	82	,	6
27.5	,	64	,	1009.1	,	82	,	6
27.9	,	51	,	1008.7	,	81	,	6
27.6	,	90	,	1009.9	,	82	,	5
28.3	,	78	,	1009.6	,	80	,	6
28.4	,	76	,	1008.8	,	78	,	6
28	,	81	,	1009.8	,	81	,	6
28.1	,	25	,	1010.1	,	79	,	8
27.8	,	21	,	1009.5	,	81	,	7
28.7	,	45	,	1009.4	,	74	,	9
28.8	,	79	,	1010.6	,	74	,	7
27.8	,	46	,	1010.8	,	81	,	8
26.9	,	25	,	1011.2	,	81	,	8
27.8	,	33	,	1011.3	,	76	,	8
